locus_tag	ftype	length_bp	gene	EC_number	COG	product
CCHHBCMG_00001	CDS	1170	flaA_1		COG1344	Flagellin A
CCHHBCMG_00002	CDS	1908				hypothetical protein
CCHHBCMG_00003	CDS	1938				hypothetical protein
CCHHBCMG_00004	CDS	1881				hypothetical protein
CCHHBCMG_00005	CDS	1944				hypothetical protein
CCHHBCMG_00006	CDS	771	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
CCHHBCMG_00007	CDS	708	legF_1	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
CCHHBCMG_00008	CDS	906				hypothetical protein
CCHHBCMG_00009	CDS	1026	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
CCHHBCMG_00010	CDS	1155	legG	3.2.1.184	COG0381	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
CCHHBCMG_00011	CDS	1005	legI_1	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
CCHHBCMG_00012	CDS	1122				hypothetical protein
CCHHBCMG_00013	CDS	711				hypothetical protein
CCHHBCMG_00014	CDS	282	pglD_1	2.3.1.203	COG0110	UDP-N-acetylbacillosamine N-acetyltransferase
CCHHBCMG_00015	CDS	225				hypothetical protein
CCHHBCMG_00016	CDS	1155	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
CCHHBCMG_00017	CDS	972	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
CCHHBCMG_00018	CDS	1032	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
CCHHBCMG_00019	CDS	1137				hypothetical protein
CCHHBCMG_00020	CDS	606	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
CCHHBCMG_00021	CDS	747	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
CCHHBCMG_00022	CDS	474	pseH	2.3.1.202	COG1670	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
