locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDHBLALJ_00001	CDS	285				IS200/IS605 family transposase ISCco1
HDHBLALJ_00002	CDS	384				IS200/IS605 family transposase ISCco1
HDHBLALJ_00003	CDS	699				hypothetical protein
HDHBLALJ_00004	CDS	2091	cirA_1		COG4771	Colicin I receptor
HDHBLALJ_00005	CDS	792	hrcA			Heat-inducible transcription repressor HrcA
HDHBLALJ_00006	CDS	531	grpE			Protein GrpE
HDHBLALJ_00007	CDS	1872	dnaK			Chaperone protein DnaK
HDHBLALJ_00008	CDS	288				hypothetical protein
HDHBLALJ_00009	CDS	231				hypothetical protein
HDHBLALJ_00010	CDS	1023			COG2220	putative protein
HDHBLALJ_00011	CDS	342				hypothetical protein
HDHBLALJ_00012	CDS	1170		2.6.1.1		Aspartate aminotransferase
HDHBLALJ_00013	CDS	633	cysE	2.3.1.30	COG1045	Serine acetyltransferase
HDHBLALJ_00014	CDS	1836	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
HDHBLALJ_00015	CDS	1227	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
HDHBLALJ_00016	CDS	579	tmk	2.7.4.9	COG0125	Thymidylate kinase
HDHBLALJ_00017	CDS	477	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
HDHBLALJ_00018	CDS	564	shdB	2.5.1.129		putative UbiX-like flavin prenyltransferase
HDHBLALJ_00019	CDS	663				hypothetical protein
HDHBLALJ_00020	CDS	777	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
HDHBLALJ_00021	CDS	771	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
HDHBLALJ_00022	CDS	774			COG1464	Membrane lipoprotein TpN32
HDHBLALJ_00023	CDS	906				hypothetical protein
HDHBLALJ_00024	CDS	1011	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
HDHBLALJ_00025	CDS	2613	valS	6.1.1.9	COG0525	Valine--tRNA ligase
HDHBLALJ_00026	CDS	930				hypothetical protein
HDHBLALJ_00027	CDS	2031	uvrD	3.6.4.12	COG0210	DNA helicase II
HDHBLALJ_00028	CDS	261				hypothetical protein
HDHBLALJ_00029	CDS	285				hypothetical protein
HDHBLALJ_00030	CDS	528	tpx	1.11.1.15	COG2077	Thiol peroxidase
HDHBLALJ_00031	CDS	2775	napA_1	1.9.6.1		Periplasmic nitrate reductase
HDHBLALJ_00032	CDS	741	napG		COG1145	Ferredoxin-type protein NapG
HDHBLALJ_00033	CDS	783	napH		COG0348	Ferredoxin-type protein NapH
HDHBLALJ_00034	CDS	522	napB			Periplasmic nitrate reductase, electron transfer subunit
HDHBLALJ_00035	CDS	921				hypothetical protein
HDHBLALJ_00036	CDS	336	napD			Chaperone NapD
HDHBLALJ_00037	CDS	177				hypothetical protein
HDHBLALJ_00038	CDS	681				hypothetical protein
HDHBLALJ_00039	CDS	321				hypothetical protein
HDHBLALJ_00040	CDS	582				hypothetical protein
HDHBLALJ_00041	CDS	246				hypothetical protein
HDHBLALJ_00042	CDS	498				hypothetical protein
HDHBLALJ_00043	CDS	1116	cca	2.7.7.72		CCA-adding enzyme
HDHBLALJ_00044	CDS	825	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
HDHBLALJ_00045	CDS	912				hypothetical protein
HDHBLALJ_00046	CDS	3510	aas	6.2.1.20		Bifunctional protein Aas
HDHBLALJ_00047	CDS	1428	murF	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
HDHBLALJ_00048	CDS	732	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HDHBLALJ_00049	CDS	216				hypothetical protein
HDHBLALJ_00050	CDS	1041	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
HDHBLALJ_00051	CDS	552	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
HDHBLALJ_00052	CDS	1866				hypothetical protein
HDHBLALJ_00053	CDS	1452	murJ		COG0728	Lipid II flippase MurJ
HDHBLALJ_00054	CDS	1383	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
HDHBLALJ_00055	CDS	1734	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
HDHBLALJ_00056	CDS	1059	pyrD	1.3.5.2		Dihydroorotate dehydrogenase (quinone)
HDHBLALJ_00057	CDS	1242		3.4.24.-	COG0612	putative zinc protease
HDHBLALJ_00058	CDS	897	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
HDHBLALJ_00059	CDS	780	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
HDHBLALJ_00060	CDS	306				hypothetical protein
HDHBLALJ_00061	CDS	597		3.-.-.-		putative protein
HDHBLALJ_00062	CDS	747	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
HDHBLALJ_00063	CDS	933	lpxK	2.7.1.130		Tetraacyldisaccharide 4'-kinase
HDHBLALJ_00064	CDS	1413	thrC	4.2.3.1	COG0498	Threonine synthase
HDHBLALJ_00065	CDS	720	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
HDHBLALJ_00066	CDS	1338				hypothetical protein
HDHBLALJ_00067	CDS	1326				hypothetical protein
HDHBLALJ_00068	CDS	771	fliY		COG0834	L-cystine-binding protein FliY
HDHBLALJ_00069	CDS	261				hypothetical protein
HDHBLALJ_00070	CDS	744	fliP		COG1338	Flagellar biosynthetic protein FliP
HDHBLALJ_00071	CDS	1290	glmU_1		COG1207	Bifunctional protein GlmU
HDHBLALJ_00072	CDS	1155	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
HDHBLALJ_00073	CDS	618				hypothetical protein
HDHBLALJ_00074	CDS	669	uppS	2.5.1.-	COG0020	Isoprenyl transferase
HDHBLALJ_00075	CDS	780				hypothetical protein
HDHBLALJ_00076	CDS	1026				hypothetical protein
HDHBLALJ_00077	CDS	723	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
HDHBLALJ_00078	CDS	1212	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
HDHBLALJ_00079	CDS	459	yccU		COG1832	putative protein YccU
HDHBLALJ_00080	CDS	411				hypothetical protein
HDHBLALJ_00081	CDS	1089	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
HDHBLALJ_00082	CDS	1731				hypothetical protein
HDHBLALJ_00083	CDS	750	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
HDHBLALJ_00084	CDS	1242				hypothetical protein
HDHBLALJ_00085	CDS	2547	acnB	4.2.1.3	COG1049	Aconitate hydratase B
HDHBLALJ_00086	CDS	477	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
HDHBLALJ_00087	CDS	948				hypothetical protein
HDHBLALJ_00088	CDS	1887	metG	6.1.1.10		Methionine--tRNA ligase
HDHBLALJ_00089	CDS	198				hypothetical protein
HDHBLALJ_00090	CDS	843	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
HDHBLALJ_00091	CDS	495	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
HDHBLALJ_00092	CDS	486				hypothetical protein
HDHBLALJ_00093	CDS	1629				hypothetical protein
HDHBLALJ_00094	CDS	282				hypothetical protein
HDHBLALJ_00095	CDS	1296	gltX	6.1.1.17		Glutamate--tRNA ligase
HDHBLALJ_00096	CDS	1125	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HDHBLALJ_00097	CDS	801	psd_1	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
HDHBLALJ_00098	CDS	282				hypothetical protein
HDHBLALJ_00099	CDS	2310				hypothetical protein
HDHBLALJ_00100	CDS	1188	ycaD			putative MFS-type transporter YcaD
HDHBLALJ_00101	CDS	504				hypothetical protein
HDHBLALJ_00102	CDS	306				hypothetical protein
HDHBLALJ_00103	CDS	1275	hemL1	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase 1
HDHBLALJ_00104	CDS	348				hypothetical protein
HDHBLALJ_00105	CDS	858	folD		COG0190	Bifunctional protein FolD protein
HDHBLALJ_00106	CDS	849	lepB	3.4.21.89	COG0681	Signal peptidase I
HDHBLALJ_00107	CDS	345				hypothetical protein
HDHBLALJ_00108	CDS	870	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
HDHBLALJ_00109	CDS	1323				hypothetical protein
HDHBLALJ_00110	CDS	456				hypothetical protein
HDHBLALJ_00111	CDS	150				hypothetical protein
HDHBLALJ_00112	CDS	219				hypothetical protein
HDHBLALJ_00113	CDS	315				hypothetical protein
HDHBLALJ_00114	CDS	282				hypothetical protein
HDHBLALJ_00115	CDS	1407				hypothetical protein
HDHBLALJ_00116	CDS	738				hypothetical protein
HDHBLALJ_00117	CDS	684				hypothetical protein
HDHBLALJ_00118	CDS	228				hypothetical protein
HDHBLALJ_00119	CDS	501				hypothetical protein
HDHBLALJ_00120	CDS	1290				hypothetical protein
HDHBLALJ_00121	CDS	375	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
HDHBLALJ_00122	CDS	1197				hypothetical protein
HDHBLALJ_00123	CDS	609				hypothetical protein
HDHBLALJ_00124	CDS	480				hypothetical protein
HDHBLALJ_00125	CDS	135	rpmH		COG0230	50S ribosomal protein L34
HDHBLALJ_00126	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
HDHBLALJ_00127	CDS	375	yidD			Putative membrane protein insertion efficiency factor
HDHBLALJ_00128	CDS	1596	yidC			Membrane protein insertase YidC
HDHBLALJ_00129	CDS	852				hypothetical protein
HDHBLALJ_00130	CDS	1329	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
HDHBLALJ_00131	CDS	2187	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
HDHBLALJ_00132	CDS	771	djlA_1			Co-chaperone protein DjlA
HDHBLALJ_00133	CDS	1533	purH		COG0138	Bifunctional purine biosynthesis protein PurH
HDHBLALJ_00134	CDS	1593				hypothetical protein
HDHBLALJ_00135	CDS	438				hypothetical protein
HDHBLALJ_00136	CDS	978	aguA	3.5.3.12	COG2957	Agmatine deiminase
HDHBLALJ_00137	CDS	888	fieF		COG0053	Ferrous-iron efflux pump FieF
HDHBLALJ_00138	CDS	873		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
HDHBLALJ_00139	CDS	1365				hypothetical protein
HDHBLALJ_00140	CDS	1344	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
HDHBLALJ_00141	CDS	699				hypothetical protein
HDHBLALJ_00142	CDS	510	lolA			Outer-membrane lipoprotein carrier protein
HDHBLALJ_00143	CDS	2589	secA		COG0653	Protein translocase subunit SecA
HDHBLALJ_00144	CDS	1206	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
HDHBLALJ_00145	CDS	1119				hypothetical protein
HDHBLALJ_00146	CDS	378				hypothetical protein
HDHBLALJ_00147	CDS	786				hypothetical protein
HDHBLALJ_00148	tRNA	76				tRNA-Lys(ttt)
HDHBLALJ_00149	tRNA	76				tRNA-Val(tac)
HDHBLALJ_00150	tRNA	77				tRNA-Asp(gtc)
HDHBLALJ_00151	tRNA	76				tRNA-Lys(ttt)
HDHBLALJ_00152	tRNA	76				tRNA-Glu(ctc)
HDHBLALJ_00153	tRNA	76				tRNA-Val(tac)
HDHBLALJ_00154	tRNA	77				tRNA-Asp(gtc)
HDHBLALJ_00155	CDS	1269	sufS	4.4.1.16		Cysteine desulfurase
HDHBLALJ_00156	CDS	747				hypothetical protein
HDHBLALJ_00157	CDS	1020	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HDHBLALJ_00158	CDS	696				hypothetical protein
HDHBLALJ_00159	tRNA	87				tRNA-Leu(caa)
HDHBLALJ_00160	CDS	2253				hypothetical protein
HDHBLALJ_00161	CDS	2970				hypothetical protein
HDHBLALJ_00162	CDS	273	rpsO		COG0184	30S ribosomal protein S15
HDHBLALJ_00163	CDS	411	cymR			HTH-type transcriptional regulator CymR
HDHBLALJ_00164	CDS	2178	flhA		COG1298	Flagellar biosynthesis protein FlhA
HDHBLALJ_00165	CDS	1053		3.1.4.17	COG2404	3',5'-cyclic-nucleotide phosphodiesterase
HDHBLALJ_00166	CDS	243				hypothetical protein
HDHBLALJ_00167	CDS	633				hypothetical protein
HDHBLALJ_00168	CDS	141				hypothetical protein
HDHBLALJ_00169	CDS	639	dsbL		COG0526	Thiol:disulfide interchange protein DsbL
HDHBLALJ_00170	CDS	696	dsbI		COG1495	Protein-disulfide oxidoreductase DsbI
HDHBLALJ_00171	CDS	1065	xerH		COG0582	Tyrosine recombinase XerH
HDHBLALJ_00172	CDS	1779	menF_1	5.4.4.2		Isochorismate synthase MenF
HDHBLALJ_00173	CDS	579	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
HDHBLALJ_00174	CDS	861	yicL		COG0697	putative inner membrane transporter YicL
HDHBLALJ_00175	CDS	1257	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HDHBLALJ_00176	CDS	1167	moeA_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
HDHBLALJ_00177	tRNA	75				tRNA-Gly(gcc)
HDHBLALJ_00178	CDS	1932	uup		COG0488	ABC transporter ATP-binding protein uup
HDHBLALJ_00179	CDS	1284	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
HDHBLALJ_00180	CDS	672	walR		COG0745	Transcriptional regulatory protein WalR
HDHBLALJ_00181	CDS	1584	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
HDHBLALJ_00182	CDS	492				hypothetical protein
HDHBLALJ_00183	CDS	1671	rpsA		COG0539	30S ribosomal protein S1
HDHBLALJ_00184	CDS	831	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
HDHBLALJ_00185	CDS	1281	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
HDHBLALJ_00186	CDS	2322	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
HDHBLALJ_00187	CDS	993	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
HDHBLALJ_00188	CDS	366			COG0537	putative HIT-like protein
HDHBLALJ_00189	CDS	570	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
HDHBLALJ_00190	CDS	138				hypothetical protein
HDHBLALJ_00191	CDS	744				hypothetical protein
HDHBLALJ_00192	CDS	729	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
HDHBLALJ_00193	CDS	1485	alsT		COG1115	Amino-acid carrier protein AlsT
HDHBLALJ_00194	CDS	468	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
HDHBLALJ_00195	CDS	990	alr	5.1.1.1		Alanine racemase
HDHBLALJ_00196	CDS	978				hypothetical protein
HDHBLALJ_00197	CDS	294				hypothetical protein
