Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
CA139575	NA	NODE_1_length_558205_cov_102.860439	265950	268514	-	gyrA_T86I	Campylobacter quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	855	855	100.00	99.88	855	WP_002779062.1	DNA gyrase subunit A GyrA	NA	NA
CA139575	NA	NODE_3_length_216379_cov_110.237168	94295	95190	+	blaOXA-61_G-57T	Campylobacter beta-lactam resistant blaOXA-61 promoter	core	AMR	POINT	BETA-LACTAM	BETA-LACTAM	POINTN	896	896	100.00	99.67	896	NZ_CP022079.1:267177-268072	blaOXA-61 promoter region	NA	NA
CA139575	NA	NODE_3_length_216379_cov_110.237168	94417	95187	+	blaOXA-193	OXA-61 family class D beta-lactamase OXA-193	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	257	257	100.00	100.00	257	WP_002783228.1	OXA-61 family class D beta-lactamase OXA-193	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	1828	2589	-	acr3	arsenite efflux transporter Acr3	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALX	254	347	73.20	100.00	254	ATE69525.1	arsenite efflux transporter Acr3	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	21792	23708	+	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	93.43	639	WP_063856405.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	24409	25185	+	aad9	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	BLASTX	259	258	100.00	99.61	259	WP_002578722.1	ANT(9) family aminoglycoside nucleotidyltransferase	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	26033	26758	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	242	245	98.78	100.00	242	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	30464	31327	+	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	288	288	100.00	100.00	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	61771	62562	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	BLASTX	264	264	100.00	94.32	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
CA139575	NA	NODE_5_length_155382_cov_111.273969	62659	63198	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	180	180	100.00	100.00	180	WP_063854935.1	streptothricin N-acetyltransferase Sat4	NA	NA
