#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
CA140717_filtered_contigs.fasta	NODE_10_length_45711_cov_128.792800	178	1563	-	fliI	1-1386/1386	===============	0/0	100.00	86.65	vfdb	NP_281405	(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	138	908	-	ptmA	1-771/771	===============	0/0	100.00	97.15	vfdb	NP_282478	(ptmA) flagellin modification protein A [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	908	1615	-	ptmB	1-708/708	===============	0/0	100.00	98.87	vfdb	NP_282477	(ptmB) acylneuraminate cytidylyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	11213	13159	-	maf4	1-1950/1950	========/======	1/3	99.85	92.36	vfdb	YP_002344724	(maf4) motility accessory factor [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	13156	14187	-	pseI	1-1032/1032	===============	0/0	100.00	97.97	vfdb	NP_282463	(pseI) N-acetylneuraminic acid synthetase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	14443	15579	+	pseA	1-1137/1137	===============	0/0	100.00	99.30	vfdb	NP_282462	(pseA) pseudaminic acid biosynthesis PseA protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	16893	17366	-	pseH	1-474/474	===============	0/0	100.00	94.09	vfdb	NP_282459	(pseH) N-acetyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	17363	18187	-	pseG	1-825/825	===============	0/0	100.00	99.52	vfdb	NP_282458	(pseG) UDP-24-diacetamido-246-trideoxy-beta-L-altropyranose hydrolase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_11_length_26788_cov_120.546041	18171	18869	-	pseF	1-699/699	===============	0/0	100.00	99.28	vfdb	NP_282457	(pseF) acylneuraminate cytidylyltransferase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_13_length_4677_cov_136.050989	57	1652	-	pseD/maf2	13-1608/1962	=============..	0/0	81.35	88.85	vfdb	NP_282479	(pseD/maf2) motility accessory factor PseD [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_14_length_2416_cov_115.372652	402	2288	-	pseE/maf5	1-1887/1887	===============	0/0	100.00	97.67	vfdb	NP_282483	(pseE/maf5) motility accessory factor PseE [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	71025	71792	+	fliR	1-768/768	===============	0/0	100.00	85.94	vfdb	NP_282326	(fliR) flagellar biosynthetic protein FliR [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	90460	91013	+	gmhB	1-554/561	========/======	3/6	98.22	84.74	vfdb	NP_282299	(gmhB) DD-heptose 17-bisphosphate phosphatase [LOS (CVF396)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	91020	91973	+	hldD	1-954/954	===============	0/0	100.00	93.50	vfdb	NP_282298	(hldD) ADP-glyceromanno-heptose 6-epimerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	91966	93351	+	hldE	1-1386/1386	===============	0/0	100.00	86.29	vfdb	NP_282297	(hldE) bifunctional D-beta-D-heptose 7-phosphate kinase/D-beta-D-heptose 1-phosphate adenylyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	93348	93908	+	gmhA	1-561/561	===============	0/0	100.00	88.41	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	95354	96301	-	waaF	1-947/960	========/======	2/3	98.54	84.41	vfdb	NP_282295	(waaF) heptosyltransferase II [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	96360	97142	+	waaV	1-783/825	===============	0/0	94.91	87.74	vfdb	NP_282294	(waaV) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	104787	105793	-	waaC	1-1007/1029	========/======	2/2	97.76	81.94	vfdb	NP_282281	(waaC) heptosyltransferase I [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	120230	120622	+	cheY	1-393/393	===============	0/0	100.00	86.26	vfdb	YP_002344511	(cheY) chemotaxis regulatory protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	162286	162675	-	fliW	1-390/390	===============	0/0	100.00	86.41	vfdb	YP_002344468	(fliW) flagellar assembly protein FliW [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	221644	222165	+	flgP	1-516/516	========/======	2/6	100.00	83.53	vfdb	YP_002344421	(flgP) required for flagellar motility [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	222141	222590	+	flgQ	1-450/450	===============	0/0	100.00	80.00	vfdb	YP_002344420	(flgQ) required for flagellar motility [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	222639	223937	+	flgR	1-1302/1302	========/======	10/17	99.23	80.90	vfdb	NP_282174	(flgR) sigma-54 associated transcriptional activator [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	288051	288830	+	pebA	1-780/780	===============	0/0	100.00	82.56	vfdb	NP_282073	(pebA) bifunctional adhesin/ABC transporter aspartate/glutamate-binding protein [PEB1 (VF0327)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	294484	296306	+	ciaB	1-1823/1833	========/======	10/12	99.13	80.26	vfdb	NP_282066	(ciaB) invasion antigen CiaB [CiaB (VF0324)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	331195	333372	-	flhA	1-2175/2175	========/======	3/9	99.86	86.57	vfdb	NP_282036	(flhA) flagellar biosynthesis protein FlhA [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	337358	339610	-	flaD	1-2253/2253	===============	0/0	100.00	95.69	vfdb	NP_282040	(flaD) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_1_length_379410_cov_119.795087	341457	342470	-	flgS	1-1014/1020	========/======	2/6	99.12	84.56	vfdb	YP_002344200	(flgS) signal transduction histidine kinase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	11969	12716	+	flaC	1-748/750	===============	0/0	99.73	89.57	vfdb	NP_281892	(flaC) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	32103	32881	-	flgG	1-779/792	===============	0/0	98.36	87.55	vfdb	NP_281870	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	32912	33724	-	flgF	1-813/813	===============	0/0	100.00	87.33	vfdb	NP_281869	(flgF) flagellar basal-body rod protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	43387	44085	+	flgH	1-699/699	========/======	2/6	99.57	86.61	vfdb	NP_281859	(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	51818	53068	-	rpoN	1-1251/1251	===============	0/0	100.00	84.33	vfdb	YP_002344093	(rpoN) RNA polymerase factor sigma-54 [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	149600	149986	-	fliS	1-387/387	===============	0/0	100.00	97.67	vfdb	NP_281733	(fliS) flagellar protein FliS [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	149998	151911	-	fliD	1-1929/1929	========/======	1/15	99.22	98.29	vfdb	NP_281732	(fliD) flagellar capping protein FliD [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	151914	152279	-	flaG	1-366/366	===============	0/0	100.00	97.81	vfdb	NP_281731	(flaG) flagellar protein FlaG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	172050	172481	+	flgB	1-432/432	===============	0/0	100.00	91.20	vfdb	NP_281712	(flgB) flagellar basal body rod protein FlgB [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	172491	172985	+	flgC	1-495/495	===============	0/0	100.00	90.50	vfdb	NP_281711	(flgC) flagellar basal body rod protein FlgC [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_2_length_256043_cov_128.365530	172992	173291	+	fliE	1-297/297	========/======	1/3	100.00	87.00	vfdb	NP_281710	(fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	72228	72764	+	fliL	1-537/537	===============	0/0	100.00	87.15	vfdb	NP_282549	(fliL) flagellar basal body protein FliL [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	76095	77271	-	kpsS	1-1177/1185	========/======	2/2	99.24	82.68	vfdb	NP_282554	(kpsS) capsule polysaccharide modification protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	105395	106326	-	kpsF	16-947/948	===============	0/0	98.31	84.76	vfdb	NP_282584	(kpsF) D-arabinose 5-phosphate isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	106381	107999	-	kpsD	1-1646/1659	========/======	7/27	97.59	80.86	vfdb	NP_282585	(kpsD) capsule polysaccharide export system periplasmic protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	109122	109778	-	kpsT	1-657/663	===============	0/0	99.10	85.54	vfdb	NP_282587	(kpsT) capsule polysaccharide export ATP-binding protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	121318	122364	+	flgI	1-1047/1047	===============	0/0	100.00	87.87	vfdb	NP_282602	(flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	122364	122705	+	flgJ	1-342/342	===============	0/0	100.00	97.66	vfdb	YP_002344845	(flgJ) flagellar rod assembly protein/muramidase FlgJ [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	122768	122965	+	flgM	1-198/198	===============	0/0	100.00	98.48	vfdb	YP_002344846	(flgM) negative regulator of flagellin synthesis [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	123452	125278	+	flgK	1-1827/1827	===============	0/0	100.00	92.28	vfdb	NP_282606	(flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_3_length_238243_cov_132.438963	136760	137753	-	cadF	1-955/960	========/======	4/39	99.48	82.60	vfdb	NP_282616	(cadF) outer membrane fibronectin-binding protein [CadF (VF0322)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	846	3212	-	pflA	1-2367/2367	========/======	9/10	99.79	80.61	vfdb	NP_282693	(pflA) paralysed flagellum protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	134583	136013	+	flhF	1-1455/1455	========/======	14/50	97.46	80.79	vfdb	NP_281279	(flhF) flagellar biosynthesis regulator FlhF [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	136006	136871	+	flhG	1-866/867	===============	0/0	99.88	86.61	vfdb	NP_281278	(flhG) ATP-binding protein [Flagella (CVF397)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	137207	137921	+	fliA	3-717/717	===============	0/0	99.72	83.92	vfdb	NP_281276	(fliA) flagellar biosynthesis sigma factor [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	137921	138997	+	fliM	1-1080/1080	========/======	1/3	99.72	92.50	vfdb	NP_281275	(fliM) flagellar motor switch protein FliM [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	138994	139830	+	fliY	1-843/843	========/======	6/12	98.93	84.28	vfdb	NP_281274	(fliY) flagellar motor switch protein FliY [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	151575	153212	-	flgE	1-1638/1638	===============	0/0	100.00	92.49	vfdb	NP_281265	(flgE) flagellar hook protein FlgE [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_4_length_171631_cov_131.281562	153216	154079	-	flgD	1-885/885	========/======	5/21	97.63	85.76	vfdb	NP_281264	(flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	71226	71508	-	fliN	27-309/309	.==============	0/0	91.59	86.22	vfdb	NP_281542	(fliN) flagellar motor switch protein FliN [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	86435	87211	+	motA	1-777/777	===============	0/0	100.00	89.19	vfdb	NP_281528	(motA) flagellar motor protein MotA [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	87969	89048	-	flhB	1-1080/1089	===============	0/0	99.17	83.43	vfdb	NP_281526	(flhB) flagellar biosynthetic protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	104088	105116	-	fliG	1-1029/1029	===============	0/0	100.00	92.03	vfdb	NP_281510	(fliG) flagellar motor switch protein G [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	105116	106798	-	fliF	1-1683/1683	===============	0/0	100.00	87.34	vfdb	NP_281509	(fliF) flagellar M-ring protein FliF [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	133368	134324	+	cheV	1-957/957	===============	0/0	100.00	87.25	vfdb	YP_002343726	(cheV) chemotaxis protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	134328	136622	+	cheA	1-2310/2310	========/======	7/33	98.96	90.38	vfdb	YP_002343725	(cheA) chemotaxis histidine kinase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_5_length_162390_cov_131.001288	136627	137148	+	cheW	1-522/522	===============	0/0	100.00	86.78	vfdb	YP_002343724	(cheW) chemotaxis protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_6_length_129369_cov_135.307400	49554	49823	+	fliQ	1-270/270	===============	0/0	100.00	88.15	vfdb	NP_282802	(fliQ) flagellar biosynthesis protein FliQ [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140717_filtered_contigs.fasta	NODE_7_length_107807_cov_120.511413	37770	38513	+	fliP	1-735/735	========/======	3/9	100.00	85.48	vfdb	NP_281981	(fliP) flagellar biosynthesis protein FliP [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
