#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	6847	7549	-	ptmB	6-708/708	===============	0/0	99.29	81.08	vfdb	NP_282477	(ptmB) acylneuraminate cytidylyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	15813	16844	-	pseI	1-1032/1032	===============	0/0	100.00	98.45	vfdb	NP_282463	(pseI) N-acetylneuraminic acid synthetase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	16994	18131	+	pseA	1-1137/1137	========/======	2/5	99.82	97.28	vfdb	NP_282462	(pseA) pseudaminic acid biosynthesis PseA protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	19444	19917	-	pseH	1-474/474	===============	0/0	100.00	94.09	vfdb	NP_282459	(pseH) N-acetyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	19914	20738	-	pseG	1-825/825	===============	0/0	100.00	100.00	vfdb	NP_282458	(pseG) UDP-24-diacetamido-246-trideoxy-beta-L-altropyranose hydrolase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	20722	21420	-	pseF	1-699/699	===============	0/0	100.00	99.14	vfdb	NP_282457	(pseF) acylneuraminate cytidylyltransferase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	37389	38519	-	pseC	1-1131/1131	===============	0/0	100.00	94.69	vfdb	NP_282440	(pseC) C4 aminotransferase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	38521	39525	-	pseB	1-1005/1005	===============	0/0	100.00	95.92	vfdb	NP_282439	(pseB) UDP-GlcNAc-specific C46 dehydratase/C5 epimerase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	94461	94757	-	ciaC	1-297/321	========/=====.	2/2	92.21	83.89	vfdb	YP_002344633	(ciaC) Campylobacter invasion antigen C [CiaC (VF0415)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	170261	171028	+	fliR	1-768/768	===============	0/0	100.00	85.94	vfdb	NP_282326	(fliR) flagellar biosynthetic protein FliR [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	191477	192030	+	gmhB	1-554/561	========/======	3/6	98.22	83.66	vfdb	NP_282299	(gmhB) DD-heptose 17-bisphosphate phosphatase [LOS (CVF396)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	192037	192990	+	hldD	1-954/954	===============	0/0	100.00	87.94	vfdb	NP_282298	(hldD) ADP-glyceromanno-heptose 6-epimerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	192983	194368	+	hldE	1-1386/1386	===============	0/0	100.00	90.48	vfdb	NP_282297	(hldE) bifunctional D-beta-D-heptose 7-phosphate kinase/D-beta-D-heptose 1-phosphate adenylyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	194365	194923	+	gmhA	1-559/561	===============	0/0	99.64	86.58	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	195679	196623	-	waaF	1-944/960	========/======	1/1	98.33	83.28	vfdb	NP_282295	(waaF) heptosyltransferase II [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA140705_filtered_contigs.fasta	NODE_1_length_597876_cov_87.036437	196682	197480	+	waaV	1-794/825	========/======	1/5	96.24	83.10	vfdb	NP_282294	(waaV) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
