#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
CA110357_filtered_contigs.fasta	NODE_12_length_51844_cov_25.366707	36874	37410	+	fliL	1-537/537	===============	0/0	100.00	87.15	vfdb	NP_282549	(fliL) flagellar basal body protein FliL [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_12_length_51844_cov_25.366707	40741	41917	-	kpsS	1-1177/1185	========/======	2/2	99.24	82.68	vfdb	NP_282554	(kpsS) capsule polysaccharide modification protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_13_length_45722_cov_28.431034	44149	45534	+	fliI	1-1386/1386	===============	0/0	100.00	86.65	vfdb	NP_281405	(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_18_length_28760_cov_27.563196	25754	28120	+	pflA	1-2367/2367	========/======	9/10	99.79	80.56	vfdb	NP_282693	(pflA) paralysed flagellum protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_19_length_28675_cov_23.424793	3337	5159	-	ciaB	1-1823/1833	========/======	10/12	99.13	80.26	vfdb	NP_282066	(ciaB) invasion antigen CiaB [CiaB (VF0324)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_19_length_28675_cov_23.424793	10813	11592	-	pebA	1-780/780	===============	0/0	100.00	82.56	vfdb	NP_282073	(pebA) bifunctional adhesin/ABC transporter aspartate/glutamate-binding protein [PEB1 (VF0327)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	11969	12716	+	flaC	1-748/750	===============	0/0	99.73	89.57	vfdb	NP_281892	(flaC) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	32103	32881	-	flgG	1-779/792	===============	0/0	98.36	87.55	vfdb	NP_281870	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	32912	33724	-	flgF	1-813/813	===============	0/0	100.00	87.33	vfdb	NP_281869	(flgF) flagellar basal-body rod protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	43387	44085	+	flgH	1-699/699	========/======	2/6	99.57	86.61	vfdb	NP_281859	(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	51818	53068	-	rpoN	1-1251/1251	===============	0/0	100.00	84.33	vfdb	YP_002344093	(rpoN) RNA polymerase factor sigma-54 [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	149494	149880	-	fliS	1-387/387	===============	0/0	100.00	97.67	vfdb	NP_281733	(fliS) flagellar protein FliS [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	149892	151808	-	fliD	1-1929/1929	========/======	2/18	99.22	97.15	vfdb	NP_281732	(fliD) flagellar capping protein FliD [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	151811	152176	-	flaG	1-366/366	===============	0/0	100.00	97.81	vfdb	NP_281731	(flaG) flagellar protein FlaG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	171947	172378	+	flgB	1-432/432	===============	0/0	100.00	91.20	vfdb	NP_281712	(flgB) flagellar basal body rod protein FlgB [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	172388	172882	+	flgC	1-495/495	===============	0/0	100.00	90.50	vfdb	NP_281711	(flgC) flagellar basal body rod protein FlgC [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA110357_filtered_contigs.fasta	NODE_1_length_246645_cov_28.538618	172889	173188	+	fliE	1-297/297	========/======	1/3	100.00	87.00	vfdb	NP_281710	(fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
