#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	69295	70038	-	fliP	1-735/735	========/======	3/9	100.00	85.48	vfdb	NP_281981	(fliP) flagellar biosynthesis protein FliP [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	145057	146070	+	flgS	1-1014/1020	========/======	2/6	99.12	84.56	vfdb	YP_002344200	(flgS) signal transduction histidine kinase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	147917	150169	+	flaD	1-2253/2253	===============	0/0	100.00	96.98	vfdb	NP_282040	(flaD) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	154155	156332	+	flhA	1-2175/2175	========/======	3/9	99.86	86.57	vfdb	NP_282036	(flhA) flagellar biosynthesis protein FlhA [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	191221	193043	-	ciaB	1-1823/1833	========/======	10/12	99.13	80.26	vfdb	NP_282066	(ciaB) invasion antigen CiaB [CiaB (VF0324)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	198694	199473	-	pebA	1-780/780	===============	0/0	100.00	82.44	vfdb	NP_282073	(pebA) bifunctional adhesin/ABC transporter aspartate/glutamate-binding protein [PEB1 (VF0327)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	263586	264884	-	flgR	1-1302/1302	========/======	10/17	99.23	80.90	vfdb	NP_282174	(flgR) sigma-54 associated transcriptional activator [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	264933	265382	-	flgQ	1-450/450	===============	0/0	100.00	80.00	vfdb	YP_002344420	(flgQ) required for flagellar motility [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	265358	265879	-	flgP	1-516/516	========/======	2/6	100.00	83.53	vfdb	YP_002344421	(flgP) required for flagellar motility [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	324974	325363	+	fliW	1-390/390	===============	0/0	100.00	86.41	vfdb	YP_002344468	(fliW) flagellar assembly protein FliW [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	367027	367419	-	cheY	1-393/393	===============	0/0	100.00	86.26	vfdb	YP_002344511	(cheY) chemotaxis regulatory protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	381856	382862	+	waaC	1-1007/1029	========/======	2/2	97.76	81.94	vfdb	NP_282281	(waaC) heptosyltransferase I [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	390508	391290	-	waaV	1-783/825	===============	0/0	94.91	87.74	vfdb	NP_282294	(waaV) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	391349	392296	+	waaF	1-947/960	========/======	2/3	98.54	84.41	vfdb	NP_282295	(waaF) heptosyltransferase II [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	393742	394302	-	gmhA	1-561/561	===============	0/0	100.00	88.41	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	394299	395684	-	hldE	1-1386/1386	===============	0/0	100.00	86.29	vfdb	NP_282297	(hldE) bifunctional D-beta-D-heptose 7-phosphate kinase/D-beta-D-heptose 1-phosphate adenylyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	395677	396630	-	hldD	1-954/954	===============	0/0	100.00	93.50	vfdb	NP_282298	(hldD) ADP-glyceromanno-heptose 6-epimerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	396637	397190	-	gmhB	1-554/561	========/======	3/6	98.22	84.74	vfdb	NP_282299	(gmhB) DD-heptose 17-bisphosphate phosphatase [LOS (CVF396)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	415858	416625	-	fliR	1-768/768	===============	0/0	100.00	85.94	vfdb	NP_282326	(fliR) flagellar biosynthetic protein FliR [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	492050	492346	+	ciaC	1-297/321	==============.	0/0	92.52	82.83	vfdb	YP_002344633	(ciaC) Campylobacter invasion antigen C [CiaC (VF0415)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	547249	548253	+	pseB	1-1005/1005	========/======	2/2	99.90	93.14	vfdb	NP_282439	(pseB) UDP-GlcNAc-specific C46 dehydratase/C5 epimerase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_1_length_558205_cov_102.860439	548255	549385	+	pseC	1-1131/1131	===============	0/0	100.00	95.76	vfdb	NP_282440	(pseC) C4 aminotransferase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	11968	12715	+	flaC	1-748/750	===============	0/0	99.73	89.57	vfdb	NP_281892	(flaC) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	32102	32880	-	flgG	1-779/792	===============	0/0	98.36	87.55	vfdb	NP_281870	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	32911	33723	-	flgF	1-813/813	===============	0/0	100.00	87.33	vfdb	NP_281869	(flgF) flagellar basal-body rod protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	43386	44084	+	flgH	1-699/699	========/======	2/6	99.57	86.61	vfdb	NP_281859	(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	51817	53067	-	rpoN	1-1251/1251	===============	0/0	100.00	84.33	vfdb	YP_002344093	(rpoN) RNA polymerase factor sigma-54 [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	149542	149928	-	fliS	1-387/387	===============	0/0	100.00	97.42	vfdb	NP_281733	(fliS) flagellar protein FliS [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	149940	151856	-	fliD	1-1929/1929	========/======	2/18	99.22	96.95	vfdb	NP_281732	(fliD) flagellar capping protein FliD [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	151859	152224	-	flaG	1-366/366	===============	0/0	100.00	97.81	vfdb	NP_281731	(flaG) flagellar protein FlaG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
CA139575_filtered_contigs.fasta	NODE_2_length_255618_cov_107.055290	171995	172426	+	flgB	1-432/432	===============	0/0	100.00	91.20	vfdb	NP_281712	(flgB) flagellar basal body rod protein FlgB [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
