locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBHBHFCO_00001	CDS	771	hisJ			putative histidine-binding protein
OBHBHFCO_00002	CDS	639		3.1.3.-	COG0560	putative phosphatase
OBHBHFCO_00003	CDS	990	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OBHBHFCO_00004	CDS	780				hypothetical protein
OBHBHFCO_00005	CDS	840				hypothetical protein
OBHBHFCO_00006	CDS	624				hypothetical protein
OBHBHFCO_00007	CDS	198				hypothetical protein
OBHBHFCO_00008	CDS	1326				hypothetical protein
OBHBHFCO_00009	CDS	1047				hypothetical protein
OBHBHFCO_00010	CDS	984	corA		COG0598	Magnesium transport protein CorA
OBHBHFCO_00011	CDS	543	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
OBHBHFCO_00012	CDS	186				hypothetical protein
OBHBHFCO_00013	CDS	1188	htpX	3.4.24.-		Protease HtpX
OBHBHFCO_00014	CDS	801	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
OBHBHFCO_00015	CDS	474				hypothetical protein
OBHBHFCO_00016	CDS	750	flaC			Secreted flagellin C
OBHBHFCO_00017	CDS	633			COG0325	Pyridoxal phosphate homeostasis protein
OBHBHFCO_00018	CDS	3603	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
OBHBHFCO_00019	CDS	330			COG1393	putative protein
OBHBHFCO_00020	CDS	1344	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
OBHBHFCO_00021	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
OBHBHFCO_00022	CDS	357	rplS			50S ribosomal protein L19
OBHBHFCO_00023	CDS	705	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
OBHBHFCO_00024	CDS	540	rimM			Ribosome maturation factor RimM
OBHBHFCO_00025	CDS	243				hypothetical protein
OBHBHFCO_00026	CDS	228	rpsP		COG0228	30S ribosomal protein S16
OBHBHFCO_00027	CDS	1338	ffh		COG0541	Signal recognition particle protein
OBHBHFCO_00028	CDS	753				hypothetical protein
OBHBHFCO_00029	CDS	1158	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
OBHBHFCO_00030	CDS	717				hypothetical protein
OBHBHFCO_00031	CDS	726		3.5.4.16	COG0327	GTP cyclohydrolase 1 type 2
OBHBHFCO_00032	CDS	864	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
OBHBHFCO_00033	CDS	555				hypothetical protein
OBHBHFCO_00034	CDS	495	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OBHBHFCO_00035	CDS	1257				hypothetical protein
OBHBHFCO_00036	CDS	705				hypothetical protein
OBHBHFCO_00037	CDS	1431	glnA	6.3.1.2	COG0174	Glutamine synthetase
OBHBHFCO_00038	CDS	792	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
OBHBHFCO_00039	CDS	813	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
OBHBHFCO_00040	CDS	1113	ftsZ			Cell division protein FtsZ
OBHBHFCO_00041	CDS	1383	ftsA			Cell division protein FtsA
OBHBHFCO_00042	CDS	1488	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
OBHBHFCO_00043	CDS	936	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
OBHBHFCO_00044	CDS	888				hypothetical protein
OBHBHFCO_00045	CDS	492				hypothetical protein
OBHBHFCO_00046	CDS	1191	ackA	2.7.2.1	COG0282	Acetate kinase
OBHBHFCO_00047	CDS	1503				hypothetical protein
OBHBHFCO_00048	CDS	699	flgH			Flagellar L-ring protein
OBHBHFCO_00049	CDS	1074	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
OBHBHFCO_00050	CDS	1839	priA	3.6.4.-	COG1198	Primosomal protein N'
OBHBHFCO_00051	CDS	447				hypothetical protein
OBHBHFCO_00052	CDS	246				hypothetical protein
OBHBHFCO_00053	CDS	231				hypothetical protein
OBHBHFCO_00054	CDS	1974	uvrB		COG0556	UvrABC system protein B
OBHBHFCO_00055	CDS	1425	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
OBHBHFCO_00056	CDS	1251	rpoN		COG1508	RNA polymerase sigma-54 factor
OBHBHFCO_00057	CDS	729	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OBHBHFCO_00058	CDS	408	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
OBHBHFCO_00059	CDS	246			COG1188	putative protein
OBHBHFCO_00060	CDS	1221	argG	6.3.4.5	COG0137	Argininosuccinate synthase
OBHBHFCO_00061	CDS	444	rplI			50S ribosomal protein L9
OBHBHFCO_00062	CDS	543	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
