locus_tag	ftype	length_bp	gene	EC_number	COG	product
HIOKELPH_00001	CDS	273	flaB			Flagellin B
HIOKELPH_00002	CDS	1899				hypothetical protein
HIOKELPH_00003	CDS	1965				hypothetical protein
HIOKELPH_00004	CDS	1860				hypothetical protein
HIOKELPH_00005	CDS	771	linX	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
HIOKELPH_00006	CDS	708	legF_1	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
HIOKELPH_00007	CDS	906				hypothetical protein
HIOKELPH_00008	CDS	1032	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
HIOKELPH_00009	CDS	1176	legG	3.2.1.184	COG0381	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
HIOKELPH_00010	CDS	1005	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
HIOKELPH_00011	CDS	681				hypothetical protein
HIOKELPH_00012	CDS	1122				hypothetical protein
HIOKELPH_00013	CDS	1143	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
HIOKELPH_00014	CDS	972	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
HIOKELPH_00015	CDS	1032	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
HIOKELPH_00016	CDS	270				hypothetical protein
HIOKELPH_00017	CDS	861				hypothetical protein
HIOKELPH_00018	CDS	231	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
HIOKELPH_00019	CDS	360	hisH_2	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
HIOKELPH_00020	CDS	747	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
HIOKELPH_00021	CDS	474	pseH	2.3.1.202	COG1670	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
HIOKELPH_00022	CDS	825	pseG	3.6.1.57	COG3980	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
HIOKELPH_00023	CDS	699	legF_2	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
HIOKELPH_00024	CDS	1212				hypothetical protein
HIOKELPH_00025	CDS	927	fabH_1	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
HIOKELPH_00026	CDS	306				hypothetical protein
HIOKELPH_00027	CDS	717				hypothetical protein
HIOKELPH_00028	CDS	228				hypothetical protein
HIOKELPH_00029	CDS	147				hypothetical protein
HIOKELPH_00030	CDS	528	fmt_1	2.1.2.9		Methionyl-tRNA formyltransferase
HIOKELPH_00031	CDS	726				hypothetical protein
