Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
CB522_filtered_contigs	NA	NODE_12_length_71238_cov_45.640196	20833	21795	+	iutA	ABC-type iron uptake system periplasmic component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	321	321	100.00	100.00	321	0|AEX68809.1	ABC-type iron uptake system periplasmic component	NA	NA
CB522_filtered_contigs	NA	NODE_12_length_71238_cov_45.640196	21897	22628	+	iutB	ABC-type iron uptake system ATP-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	244	244	100.00	100.00	244	0|AEX68810.1	ABC-type iron uptake system ATP-binding protein	NA	NA
CB522_filtered_contigs	NA	NODE_12_length_71238_cov_45.640196	22799	23524	+	iutC	ABC-type iron uptake system membrane protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	242	242	100.00	100.00	242	0|AEX68811.1	ABC-type iron uptake system membrane protein	NA	NA
CB522_filtered_contigs	NA	NODE_12_length_71238_cov_45.640196	23524	24372	+	iutD	ABC-type iron uptake system membrane protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	EXACTX	283	283	100.00	100.00	283	0|AEX68812.1	ABC-type iron uptake system membrane protein	NA	NA
CB522_filtered_contigs	NA	NODE_12_length_71238_cov_45.640196	24459	25517	+	iutE	ABC-type iron uptake system substrate-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iutABCDE	iutABCDE	BLASTX	353	345	100.00	97.45	353	0|AEX68813.1	ABC-type iron uptake system substrate-binding protein	NA	NA
CB522_filtered_contigs	NA	NODE_12_length_71238_cov_45.640196	51267	51773	-	rbp-like	Ribosome binding protein like	plus	VIRULENCE	VIRULENCE	OTHER_TOXINS	OTHER_TOXINS	INTERNAL_STOP	169	229	79.91	85.79	183	372114090|AEX80148.1	Ribosome binding protein like	NA	NA
CB522_filtered_contigs	NA	NODE_14_length_61789_cov_42.811715	47611	48222	+	iusA	ABC-type iron uptake system permease protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	204	204	100.00	100.00	204	0|AEX70841.1	ABC-type iron uptake system permease protein	NA	NA
CB522_filtered_contigs	NA	NODE_14_length_61789_cov_42.811715	48251	48682	+	iusB	ABC-type iron uptake system permease protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	144	144	100.00	100.00	144	0|AEX70840.1	ABC-type iron uptake system permease protein	NA	NA
CB522_filtered_contigs	NA	NODE_14_length_61789_cov_42.811715	48685	49716	+	iusC	ABC-type iron uptake system permease protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	BLASTX	344	344	100.00	99.71	344	0|AEX70839.1	ABC-type iron uptake system permease protein	NA	NA
CB522_filtered_contigs	NA	NODE_14_length_61789_cov_42.811715	49731	50606	+	iusD	ABC-type iron uptake system periplasmic component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	iusABCDE	iusABCDE	EXACTX	292	292	100.00	100.00	292	0|AEX70838.1	ABC-type iron uptake system periplasmic component	NA	NA
