Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
CB527_filtered_contigs	NA	NODE_10_length_101039_cov_30.449124	8551	9393	-	irp1D	ABC-type Fe3+-siderophore transport system, ATP-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp1ABCD	irp1ABCD	BLASTX	281	281	100.00	99.64	281	0|AEX70740.1	ABC-type Fe3+-siderophore transport system, ATP-binding protein	NA	NA
CB527_filtered_contigs	NA	NODE_10_length_101039_cov_30.449124	9406	10458	-	irp1C	ABC-type Fe3+-siderophore transport system, permease component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp1ABCD	irp1ABCD	BLASTX	351	351	100.00	99.72	351	0|AEX70741.1	ABC-type Fe3+-siderophore transport system, permease component	NA	NA
CB527_filtered_contigs	NA	NODE_10_length_101039_cov_30.449124	10458	11375	-	irp1B	ABC-type Fe3+-siderophore transport system, permease component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp1ABCD	irp1ABCD	BLASTX	306	306	100.00	99.35	306	0|AEX70742.1	ABC-type Fe3+-siderophore transport system, permease component	NA	NA
CB527_filtered_contigs	NA	NODE_10_length_101039_cov_30.449124	11492	12556	-	irp1A	ABC-type Fe3+-hydroxamate transport system, periplasmic component	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp1ABCD	irp1ABCD	BLASTX	355	355	100.00	99.72	355	0|AEX70743.1	ABC-type Fe3+-hydroxamate transport system, periplasmic component	NA	NA
CB527_filtered_contigs	NA	NODE_15_length_76432_cov_27.400983	45812	46891	+	irp2A	DtxR/iron regulated protein 2	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	EXACTX	360	360	100.00	100.00	360	0|AEX68227.1	DtxR/iron regulated protein 2	NA	NA
CB527_filtered_contigs	NA	NODE_15_length_76432_cov_27.400983	46937	48079	+	irp2B	Hypothetical protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	EXACTX	381	381	100.00	100.00	381	0|AEX68228.1	Hypothetical protein	NA	NA
CB527_filtered_contigs	NA	NODE_15_length_76432_cov_27.400983	48064	53595	+	irp2C	Putative siderophore biosynthetic protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	BLASTX	1844	1844	100.00	99.89	1844	0|AEX68229.1	Putative siderophore biosynthetic protein	NA	NA
CB527_filtered_contigs	NA	NODE_15_length_76432_cov_27.400983	53591	54196	+	irp2D	Hypothetical protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	BLASTX	202	202	100.00	99.01	202	0|AEX68230.1	Hypothetical protein	NA	NA
CB527_filtered_contigs	NA	NODE_15_length_76432_cov_27.400983	54196	55824	+	irp2E	Siderophore biosynthetic protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	EXACTX	543	543	100.00	100.00	543	0|AEX68231.1	Siderophore biosynthetic protein	NA	NA
CB527_filtered_contigs	NA	NODE_15_length_76432_cov_27.400983	55840	63408	+	irp2F	Putative siderophore biosynthetic protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	BLASTX	2523	2523	100.00	99.84	2523	0|AEX68232.1	Putative siderophore biosynthetic protein	NA	NA
