Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	3965	4591	+	irp2N	Maltose O-acetyltransferase	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2JKLMN	irp2JKLMN	EXACTX	209	209	100.00	100.00	209	0|AEX68240.1	Maltose O-acetyltransferase	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	4641	5816	+	irp2M	Sterol 3-beta-glucosyltransferase	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2JKLMN	irp2JKLMN	BLASTX	392	392	100.00	99.74	392	0|AEX68239.1	Sterol 3-beta-glucosyltransferase	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	5852	6598	+	irp2L	Thioesterase	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2JKLMN	irp2JKLMN	EXACTX	249	249	100.00	100.00	249	0|AEX68238.1	Thioesterase	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	6629	8392	+	irp2K	Lipid A export ATP-binding/permease protein msbA	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2JKLMN	irp2JKLMN	BLASTX	588	588	100.00	99.83	588	0|AEX68237.1	Lipid A export ATP-binding/permease protein msbA	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	8395	10116	+	irp2J	ATP-binding cassette subfamily C	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2JKLMN	irp2JKLMN	BLASTX	574	574	100.00	99.65	574	0|AEX68236.1	ATP-binding cassette subfamily C	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	10126	11601	-	irp2I	ABC transporter ATP-binding protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	BLASTX	492	492	100.00	99.80	492	0|AEX68235.1	ABC transporter ATP-binding protein	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	11601	12344	-	irp2H	Cobalt transport protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	EXACTX	248	248	100.00	100.00	248	0|AEX68234.1	Cobalt transport protein	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	12347	12970	-	irp2G	Putative membrane protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	BLASTX	208	208	100.00	99.52	208	0|AEX68233.1	Putative membrane protein	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	13065	20633	-	irp2F	Putative siderophore biosynthetic protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	BLASTX	2523	2523	100.00	99.80	2523	0|AEX68232.1	Putative siderophore biosynthetic protein	NA	NA
CB530_filtered_contigs	NA	NODE_12_length_76453_cov_47.296898	20649	22277	-	irp2E	Siderophore biosynthetic protein	core	IRON_UPTAKE_SYSTEM	IRON_UPTAKE_SYSTEM	irp2ABCDEFGHI	irp2ABCDEFGHI	EXACTX	543	543	100.00	100.00	543	0|AEX68231.1	Siderophore biosynthetic protein	NA	NA
